Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1962,213500006
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1962,13264015675
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1962,236434954
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1962,379567099.2
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1962,5081413542
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1962,212254902
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1962,31857591.86
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1962,94149984.31
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1962,443916666.7
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1962,35644956.64
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1962,124482773.8
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1962,42227447632
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1962,11879982759
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1962,5631285444
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1962,47209186415
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1962,645284474.6
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1962,694247864.4
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1962,166521239.7
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1962,4955538219
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1962,479180824.3
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1962,824100000
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1962,2001444544
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1962,1518207704
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1962,16138545209
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1962,6340580854
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1962,122906435
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1962,75607529810
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1962,182796536.3
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1962,81247564157
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1962,1390140845
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1962,9122751.453
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1962,5213047711
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1962,1143600000
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1962,194949512.6
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1962,1612346412
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1962,387750000
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1962,281896799.8
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1962,42161481858
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1962,2260349684
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1962,4693566416
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1962,1954399498
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1962,284916516.2
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1962,2510000000
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1962,50383891899
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1962,777727688.9
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1962,60723018684
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1962,868111400.8
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1962,660000008.6
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1962,12541635.31
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1962,2814615385
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1962,1434156379
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1962,41859983.26
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1962,741509480.8
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1962,2379611125
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1962,739286907.6
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1962,15200000000
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1962,634528851.5
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1962,164271557.6
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1962,2001489602
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1962,531736599.3
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1962,4909399176
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1962,14647057370
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1962,6066976683
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1962,574091100.7
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1962,6077496268
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1962,4310163797
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1962,652120900
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1962,4954593072
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1962,261184041.8
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1962,2094400000
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1962,3668222358
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1962,125000008
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1962,1329022989
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1962,1085475791
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1962,826239211.8
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1962,342872712.4
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1962,203531927.5
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1962,116150000
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1962,18667251380
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1962,45927961.63
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1962,12642025.92
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1962,1110565881
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1962,357635713.4
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1962,132237468.1
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1962,3308912797
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1962,619319197.3
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1962,8922222222
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1962,449012578.6
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1962,1763636364
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1962,6.051E+11
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1962,14524963.69
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1962,8814309884
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1962,9813996074
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1962,693142857.1
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1962,1117601600
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1963,751111191.1
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1963,21539843446
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1963,8374175258
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1963,232749998
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1963,14260017387
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1963,253927697.3
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1963,394040667.1
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1963,5319458563
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1963,237745098
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1963,33750113.75
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1963,96366650.61
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1963,478000000
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1963,38091842.85
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1963,129379123.8
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1963,45029988561
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1963,13063643796
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1963,5591307028
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1963,50706614526
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1963,761047199
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1963,718320845
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1963,172233430.7
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1963,4836166667
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1963,511902136.8
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1963,940799900
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1963,2702982018
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1963,1824343870
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1963,19074913948
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1963,6885920329
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1963,129454728.6
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1963,84759195106
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1963,154480244.1
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1963,86561961812
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1963,1549295775
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1963,10840095.13
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1963,5895278024
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1963,1262800000
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1963,175757893.9
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1963,1935298266
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1963,410200000
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1963,294883399.8
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1963,48421923459
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1963,2430843768
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1963,4928628018
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1963,1978199489
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1963,340061650.1
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1963,2992333333
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1963,57710743060
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1963,826706669.3
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1963,69498131797
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1963,926589349.4
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1963,728571437.1
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1963,12833301.25
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1963,3988461538
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1963,1240672269
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1963,47039981.18
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1963,791140595.8
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1963,2657252578
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1963,759345863.7
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1963,16960000000
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1963,598998434.7
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1963,168186297.2
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1963,2510110348
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1963,586294878.7
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1963,5165590254
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1963,15891241386
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1963,6510239503
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1963,496947904.4
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1963,6638937283
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1963,4630827383
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1963,722784500
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1963,5505023238
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1963,275968044.2
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1963,2333600000
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1963,3905734460
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1963,128000000
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1963,1352011494
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1963,1122139862
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1963,917608012.5
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1963,348700653.6
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1963,216145935.9
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1963,125950000
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1963,20204870630
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1963,54129438.35
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1963,13923028.54
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1963,1200447408
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1963,371767002.2
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1963,143255813.2
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1963,3540403457
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1963,678235373
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1963,10355555556
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1963,516147798.7
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1963,1553333333
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1963,6.386E+11
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1963,13708299.06
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1963,9608717288
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1963,10854195658
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1963,718714285.7
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1963,1159511700
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1964,800000044.4
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1964,23801123808
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1964,9169983886
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1964,260750008
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1964,15960106681
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1964,269819005.9
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1964,410321645
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1964,5386054833
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1964,266666666.7
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1964,36194586.19
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1964,107566648.7
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1964,538583333.3
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1964,41616347.79
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1964,142025078.7
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1964,49377522897
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1964,14480556572
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1964,5964195925
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1964,59708125204
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1964,921063326.3
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1964,776650176.9
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1964,185693724.9
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1964,5973366667
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1964,542578367.2
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1964,1025599900
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1964,2909316435
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1964,2244146103
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1964,21343844644
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1964,7766655086
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1964,140032741.5
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1964,94007851047
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1964,215679855.3
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1964,94407558351
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1964,1740845070
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1964,12712471.4
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1964,6669673257
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1964,1299099900
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1964,194774513.1
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1964,2206466461
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1964,457000000
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1964,325281199.7
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1964,56480289941
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1964,2766608946
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1964,5379845648
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1964,2340239344
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1964,434267936.9
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1964,3405333333
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1964,63175417019
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1964,897949000.8
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1964,81749006382
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1964,998759334.5
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1964,782857128.6
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1964,13416633.13
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1964,3459019943
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1964,1309747899
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1964,51939979.22
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1964,903158753.9
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1964,2798345299
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1964,802482183.7
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1964,20080000000
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1964,411419905.8
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1964,224495743.8
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1964,2674423922
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1964,582816396.4
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1964,5552931319
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1964,18699380731
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1964,7159202706
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1964,496098775.3
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1964,7274144351
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1964,5204955901
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1964,776137500
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1964,5953756195
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1964,305312048.8
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1964,2570500000
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1964,4235608178
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1964,129999994
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1964,1389080460
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1964,1188930645
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1964,894153311.4
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1964,372012091.5
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1964,229529912.7
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1964,134400000
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1964,22532416750
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1964,64980554.01
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1964,15393031.56
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1964,1339494267
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1964,392247517.7
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1964,166104078.5
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1964,3889129942
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1964,711893367.6
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1964,11177777778
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1964,589056603.8
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1964,1970588235
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1964,6.858E+11
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1964,14758296.44
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1964,8192413793
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1964,11955995218
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1964,839428571.4
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1964,1217138000
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1965,1006666638
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1965,25976164156
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1965,9994070616
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1965,158994963
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1965,17371457608
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1965,289908680.4
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1965,422916789.7
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1965,5906636792
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1965,300392156.9
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1965,40110040.11
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1965,114339050.3
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1965,598333333.3
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1965,114039500.6
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1965,45788696.33
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1965,150574795.4
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1965,54515179581
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1965,15346741670
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1965,6108679126
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1965,70436008642
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1965,919771228
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1965,814083265.5
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1965,198318064
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1965,5760761905
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1965,592981162.3
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1965,888100000
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1965,3136284307
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1965,2387047396
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1965,4948667540
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1965,24756958695
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1965,8589340019
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1965,147084750
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1965,1.01537E+11
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1965,57954522.42
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1965,226474285.8
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1965,1.01825E+11
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1965,2064788732
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1965,64748333.33
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1965,7689154053
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1965,1331399900
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1965,213235294.1
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1965,2435078534
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1965,508650000
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1965,353251799.7
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1965,59554854576
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1965,2945704143
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1965,6197319929
